query,frequency,category_breakdown
"Find sprocket sets for the sniper150 model that come with free shipping, GY6 linear grooved bell, custom sprocket sets for yamaha fz16 with LazMall service, and RUSI sprocket sets.

My budget is only `4638`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `6649`.
3. It provides a percentage discount of `41%` with a cap of `4362`.",4,Voucher:4
"Show me metal cream dispensers, amber LED fog lights for cars, and 1.2m*10m sunshade panels with complimentary shipping.

My budget is only `2866`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `2863`.
3. It provides a percentage discount of `43%` with a cap of `1280`.",4,Voucher:4
"Looking for women's sandals in white, size EU 40, made of leather with a block heel style. Prefer OEM brand, suitable for casual wear, with a plain design, and priced above 372 PHP.",3,Product:3
"Find shops that offer all of the following: 1) a bread proofing basket with cash on delivery and a price above 347 PHP, 2) a PVC ceiling panel with free shipping and a price over 585 PHP, and 3) blue rose flower seeds with free shipping and a price higher than 452 PHP.",3,Shop:3
"Looking for a shop that offers these items: (1) a front desk key phone operator with caller ID and priced above 3603 PHP, (2) a PABX exchange system, (3) a GSM wireless telephone system with intercom, costing more than 7922 PHP, and (4) a PBX intercom system with capacity options, available with LazFlash deals and priced between 5645 and 6997 PHP. Please show shops selling all these products.",3,Shop:3
"Find shops offering powder detergent in 1 kilo size with a pink variant, featuring brightening and whitening benefits, priced from 1 to 62 pesos; also shops selling 14-inch cutoff discs for machines in packs of 10, costing over 215 pesos; and those with heavy-duty 14-inch cutoff discs in 5-piece sets, suitable for metal work, available with LazFlash deals and priced above 79 pesos.",3,Shop:3
"I'm looking for a gel pen that comes with free delivery. Also, I need a wooden coffee table in a classical style, made by xuxu, with legs as the base, measuring 30 cm wide and 40 cm deep, and the model should be xuxu.

My budget is only `666`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `786`.
3. It provides a percentage discount of `34%` with a cap of `410`.",3,Voucher:3
"Looking for a panel gauge cover in carbon color from surfy, a black triangle safety nose suitable for kids aged 8 and up, and a blue women's denim shirt in size large (for 53-60kg), with a v-neck, 3/4 sleeves, and a gathered blouse style.

My budget is only `501`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `702`.
3. It provides a percentage discount of `40%` with a cap of `367`.",3,Voucher:3
"Looking for a premium hand or foot lotion from scd perfect care for your skin, model 2022, in a travel size single pack, with glycolic acid as a preferred ingredient.",3,Product:3
"Show me women's pants that are normal size, full length, and have a wide leg fit. The material can be standard, and please include only those with cash on delivery available. I'm looking for options priced above 173 PHP.",3,Product:3
"Find led light socket with infrared feature, LazMall service, and price from 108 to 220 PHP.",3,Product:3
Looking for xtep black1 running shoes in EU size 43,3,Product:3
"I'm looking for a shop that offers these items: First, a sword holder in size b, with a black*2 color option, and priced above 19 pesos. Second, a truck fuel tank cover in black, available as products only, supports cash on delivery, and costs between 155 and 462 pesos. Third, motorcycle brake pads with a price range from 83 to 389 pesos. Please show shops that have all these products.",3,Shop:3
"Find a shop offering both an OEM brand LCD display for Samsung Galaxy Core priced between 636 and 1633 PHP, and a TP-Link Neffos C9a LCD display that supports cash on delivery and costs over 1610 PHP. Both should be in the mobile display replacement category.",3,Shop:3
"Show me OEM brand cabin filters for Honda Civic and also camera lens protectors for Vivo Y100.

My budget is only `500`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `93`.
3. It provides a percentage discount of `16%` with a cap of `78`.",3,Voucher:3
"I'm looking for some rivets for sheet metal, specifically the type used as fasteners. Also, I need a cutting disc from Sunrise that's meant for cutting and is a cutting face grinding wheel. Additionally, I'm searching for an armature replacement part for a cut-off machine, mainly for cutting tasks. Lastly, I want a DCA brand brush holder cap for a demolition hammer that's corded, works with stick-type welders, has a point chisel, and is available with cash on delivery.

My budget is only `1558`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `1846`.
3. It provides a percentage discount of `36%` with a cap of `1500`.",3,Voucher:3
Show me steel watchband adapters for Xiaomi with a price above 55 PHP.,3,Product:3
"I'm looking for a gold-b color home decoration that supports cash on delivery, a Panasonic brand air conditioner with 1.5 hp, 220v input, and LazFlash deals, and a 6pcs color set of baking molds available through LazMall.

My budget is only `36313`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `26311`.
3. It provides a percentage discount of `28%` with a cap of `14525`.",3,Voucher:3
"Show me black canvas shoulder bags from LazMall.

My budget is only `116`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `74`.
3. It provides a fixed discount of `22`.",3,Voucher:3
"Looking for a men's square quartz watch with a silver strap, in the grey color family, suitable for unisex, and priced above 3894 PHP.",3,Product:3
"Looking for a necklace made from zinc alloy, available for cash on delivery, and priced between 5 and 14 pesos.",3,Product:3
Show me ceramic vases from oriental home that cost more than 1 peso.,3,Product:3
"I'm looking for a stainless steel kitchen knife made in the USA, and also kids' socks in multicolor, made of cotton, with a free size height.

My budget is only `150`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `54`.
3. It provides a fixed discount of `21`.",3,Voucher:3
"Looking for hand grips in black, XL size, suitable for hands; barefoot powerlifting shoes in EU 45; grip support for workouts, large size, black, with padding for legs; and wrist wraps, 50cm size. Please show options for these categories.

My budget is only `10772`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `10185`.
3. It provides a percentage discount of `45%` with a cap of `5845`.",3,Voucher:3
"Find a shop offering all of these: (1) A bag strap in the bags category, pink color, made of nylon, with an animal print pattern, model oem, free shipping, and priced above 20 PHP; (2) A crossbody strap in the bags category, priced over 46 PHP; (3) A reusable shopping bag in the bags category, black color, crafted from nylon, available with LazFlash deals, and costing more than 9 PHP.",3,Shop:3
"Show me bremod products for frizzy hair, especially peroxide oxidizing creams. Also, I'm looking for bremod cream hair colors, including mocha brown and dark brown shades, all in cream formulation. Please include single items in the color family with 6% oxidizer, and make sure at least one is from LazMall for guaranteed authenticity and easy returns.

My budget is only `277`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `192`.
3. It provides a fixed discount of `36`.",3,Voucher:3
"Looking for an iron kitchen organizer that's waterproof, and a 5g wifi antenna suitable for connecting 16 to 25 devices.

My budget is only `2116`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `542`.
3. It provides a percentage discount of `50%` with a cap of `349`.",3,Voucher:3
"Show me financial accounting books with LazFlash deals, and local government law books in English with ISBN 1 that come with complimentary shipping.

My budget is only `2286`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `579`.
3. It provides a percentage discount of `35%` with a cap of `347`.",3,Voucher:3
"Find shops offering a ring box with cash on delivery, a seedling tray that is free form in shape and has an oem model, and a set of snapback straps for baseball caps priced above 2 PHP.",3,Shop:3
"I'm looking for a multipack refill bottle of a fragrance free leather care product. Also, I want an olive green cotton blouse with a halter neck and short sleeves, available with free shipping and cash on delivery.

My budget is only `1064`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `142`.
3. It provides a fixed discount of `40`.",3,Voucher:3
Find vegetable choppers that support pay on delivery and cost more than 7 PHP.,3,Product:3
"Looking for a shop offering watches where one has a calendar function, is non-branded, made in China, with a 40mm dial and 50m water resistance, and another is a silver chronograph watch with a stopwatch feature, stainless steel band, and comes with complimentary shipping.",3,Shop:3
"I'm looking for a shop that sells several items. First, I want a white electric fan accessory with the model listed as 'ohters', which comes with free delivery and is part of a LazFlash deal. Next, I need a microwave oven cooling fan motor in the 'as the picture' color family, also with the model 'ohters', and the component type should be remote control. It should support cash on delivery and cost more than 44 pesos. Lastly, I'm searching for an air conditioner remote control, again with the model 'ohters'. Please show me shops that offer all these products.",3,Shop:3
"Show me cotton crew neck basketball shirts in extra large, and also casual volleyball shirts in medium.

My budget is only `463`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `561`.
3. It provides a fixed discount of `194`.",3,Voucher:3
"I'm looking for a commercial bread slicer, a multifunctional mixer with 8kg capacity, face style, electric features, and 1500W power, a high-power electric grill for indoor use, and a gas egg waffle maker that's available with a LazFlash deal. Please show me options that match these details.

My budget is only `37902`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `6259`.
3. It provides a percentage discount of `23%` with a cap of `5071`.",3,Voucher:3
"Looking for a blue CDI unit for Yamaha, with LazMall service for guaranteed authenticity and quick returns.

My budget is only `507`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `658`.
3. It provides a percentage discount of `45%` with a cap of `462`.",3,Voucher:3
"Show me chandeliers made of metal with a natural white bulb color, width between 20 and 24 inches, runs on 220v, and costs from 826 to 2797 PHP.",3,Product:3
"Find a shop offering these items: First, a clear color yeast extract vegan spread with cash on delivery, priced above 163 PHP. Second, a clear color clarifying and volumizing shampoo (2 pieces, single item pack, fragrance-free, by Aveeno, model Aveeno) for hair volume concerns, with LazMall service, and price between 946 and 1559 PHP. Third, a fabric conditioner (1 piece, box packaging, cherry blossom scent, model Comfort, single pack type) with price from 261 to 1356 PHP.",3,Shop:3
"Looking for shops offering these: a hair spray for all hair types as a single item, priced above 5 pesos; a keratin-based hair treatment within 285 to 849 pesos; a powder-form body scrub sold as a single item, over 8 pesos; and a hair care product for split ends or damage, priced above 233 pesos.",3,Shop:3
"I'm looking for an ultrasonic humidifier from one home, and also a vacuum cleaner by one home that has no cord. Can you help me find these products?

My budget is only `1583`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `2064`.
3. It provides a percentage discount of `38%` with a cap of `1557`.",3,Voucher:3
"Show me cotton blend bedsheets for adults from Home de Luxe, in single size, with an orange stripes design and an abstract pattern. I want breathable fabric, cash on delivery option, and the price should be between 1012 and 1139 PHP.",3,Product:3
"Looking for a men's t-shirt in large size, blue 1 color, with embroidery design and standard material.",3,Product:3
"I'm looking for a stainless steel sponge holder for the kitchen, a bamboo reusable capsule filter coffee accessory, and a 1pcs color manual can opener.

My budget is only `295`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `149`.
3. It provides a percentage discount of `35%` with a cap of `134`.",3,Voucher:3
"I'm looking for a vitamin c supplement that contains vitamin c, a standard badminton net for outdoor use, and a Gripper G-Classic tubeless tire with complimentary shipping.

My budget is only `975`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `837`.
3. It provides a percentage discount of `26%` with a cap of `707`.",3,Voucher:3
"I'm looking for a white cable management tray made of metal, specifically carbon steel, from the brand just living, and it should have a LazFlash deal. Also, I want a blue cup cover. Both items should be in the storage and kitchenware categories.

My budget is only `886`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `325`.
3. It provides a fixed discount of `146`.",3,Voucher:3
"Find padlocks from amerilock in the 30mm color family, with LazMall service, priced between 44 and 152 PHP, and door security type as padlocks.",3,Product:3
"Find a shop on LazMall that sells a smartphone with a 6000 mah lithium polymer battery, model realme 14 pro plus 5g, GPS feature, triple cameras, 1080p video, 32 mp front camera, OLED display, and costs over 23728 PHP. Also, the shop should offer another mobile with green color, 6.7-inch screen, Android OS, 4G network, 1080p video, 13 mp rear camera, single camera setup, GPS, dual SIM slots, IPS LCD screen, and price above 1222 PHP. Lastly, the shop should have a phone running Android, 5000 mah battery, IPS LCD display, 4gb RAM, 260 ppi pixel density, 8 mp selfie camera, Infinix brand, 48 mp back camera, and priced over 5123 PHP.",3,Shop:3
"I'm looking for a shop that sells these items: First, a phone case for iPhone in black, with a dirt-resistant feature, LazMall service, and priced between 193 and 334 pesos. Second, a black silicone earphone case for Marshall Minor III. Third, a red earphone case for Marshall Motif ANC that supports cash on delivery and costs between 130 and 424 pesos. Lastly, a phone case compatible with iPhone 12, in a case color, with a pattern theme, and priced above 100 pesos. Please show me shops offering these products.",3,Shop:3
"Find a shop offering multiple items, including: a clear polypropylene (pp) packaging plastic with cash on delivery and price above 7 PHP; a casual style plastic labo sized 20x30; a blue jumbo plastic bag; and a white peach colored medium plastic bag for all occasions with LazFlash promo and price over 92 PHP. Only show shops selling all these types of products.",3,Shop:3
Show me chisel accessories where the price is above 65 PHP.,3,Product:3
"Find a shop that sells a wireless network printing photo printer with 11-20ppm speed, USB compatibility, LazMall perks, free shipping, and costs over 41 PHP; a Bluetooth shipping label printer with 3000-4000 power usage, universal plug, and priced above 27 PHP; and a pack of 500pcs address label stickers made of plastic, multi-use/removable, with LazMall benefits, and priced between 38 and 177 PHP.",3,Shop:3
"Show me bar soap for normal skin with antibacterial benefits, sold as a single piece, 113g size, and priced from 55 to 127 pesos.",3,Product:3
"I'm looking for a cutting mat in A4 size with the color red, and also a PVC plastic sign in A4 size that warns against blocking someone's driveway.

My budget is only `764`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `561`.
3. It provides a fixed discount of `214`.",3,Voucher:3
"Find dry dog food products. First, look for the one with the original variant for 10kg. Next, search for TOPBREED options in 20kg, 5kg, or 1kg sizes that have a meat flavor and come with complimentary shipping.

My budget is only `572`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `664`.
3. It provides a fixed discount of `198`.",3,Voucher:3
"Show me battery chargers with LazFlash deals, priced above 46 PHP, in the scooter accessories category.",3,Product:3
"Looking for a shop offering both a square-shaped stainless glass unisex wristwatch with a pearl strap, water resistance up to 30 meters, Japanese movement, and priced above 292 PHP, as well as a round kids' watch with a bee-colored pearl strap, costing more than 274 PHP. Both should be in the watches category.",3,Shop:3
"Find shops offering both a soft cotton roll (single pack, costs over 17 pesos) and an abdominal binder. Show only stores that carry both items.",3,Shop:3
"I'm looking for a display shelf made of wood, a TV cabinet with open storage, and another TV cabinet with two tiers. Can you help me find these furniture pieces?

My budget is only `17975`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `10263`.
3. It provides a fixed discount of `2614`.",3,Voucher:3
"I'm looking for some cookware items. First, a 4-piece non-stick set from boreine that comes with free delivery. Next, a 30cm deep frying pan that's compatible with halogen cooktops. Lastly, a 16cm saucepan with a glass lid, suitable for gas stoves. Can you help me find these?

My budget is only `4141`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `533`.
3. It provides a fixed discount of `195`.",3,Voucher:3
"Looking for a kids t-shirt in color 04, size 110, perfect for summer, made from polyester, suitable for everyday wear, with a round neckline, cartoon print, and from the oem brand.",3,Product:3
"Find a pink cotton swab dispenser from oem with LazFlash deals; also, show cotton school socks for kids aged 6-10, made of cotton, unisex, model #yenyenlulu, suitable for school uniforms, wearable in all seasons, and comes with free shipping; plus, look for a cordless angle grinder (48V, 125mm) from oem tools, with 2 batteries, a case included, and designed for metal work.

My budget is only `2534`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `2171`.
3. It provides a percentage discount of `26%` with a cap of `1303`.",3,Voucher:3
"Find a shop offering these items: First, a large-sized motorcycle riding jersey priced above 41 PHP. Second, a graphic print short sleeve polo in size large (int:l) for over 73 PHP. Third, a small-sized motorcycle riding jersey with LazMall service, priced between 66 and 132 PHP.",3,Shop:3
Looking for a silver handle grip compatible with universal motorcycles that comes with complimentary shipping.,3,Product:3
"Looking for moisturizing lotion from Palmer's, a body or foot powder that supports cash on delivery and LazFlash deals, and a hydrating shampoo.

My budget is only `777`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `553`.
3. It provides a fixed discount of `135`.",3,Voucher:3
"Show me Kawasaki motorcycle parts that come with free delivery and support cash on delivery, specifically those with a change gear pedal. Also, I'm looking for car headlight bulbs with an h1 socket, white color, from lupuauto, and free shipping included.

My budget is only `773`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `106`.
3. It provides a percentage discount of `45%` with a cap of `83`.",3,Voucher:3
Show me white table racks costing more than 33 pesos.,3,Product:3
"Find a shop offering both a garden hose with a hose water component and a foldable toilet safety frame in the upgrade version color, priced above 886 PHP.",3,Shop:3
"I'm looking for an armygreen nylon radio pouch with an adjustable strap and lightweight design, a set of slip-resistant wave hangers for laundry, and a children's 3D puzzle building blocks toy in color e.

My budget is only `169`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `34`.
3. It provides a fixed discount of `9`.",3,Voucher:3
Show me green vegetable seeds with LazFlash deals in the cabbage category.,3,Product:3
"I'm looking for a shop that sells these items: First, a pair of denim pants with a high-rise waist, made from denim fabric, and comes with free shipping. Second, stretchable high-waist denim pants in black, full length, available in waist size 40, with LazMall service, and priced between 99 and 390 pesos. Third, a lace bolero top in black and white, featuring embroidery, pull-over style, and costs more than 282 pesos. Lastly, blue denim pants in waist size 38, regular fit, plain pattern, high waist, made of denim, with LazMall service, and priced from 263 to 499 pesos.",3,Shop:3
"Find a shop offering both polyester tape and neck tape products. For the first item, look for white color, non-sticky type, and priced above 15 pesos. For the second, search for pink color, 3/8 inch size, made of cotton, comes with complimentary shipping, and costs between 13 and 138 pesos.",3,Shop:3
"Looking for beading supplies: first, a 10mm semi-precious stone in the jewelry category; second, a pink rubber thread for beading that supports cash on delivery; and third, an 8mm stone beading item with black tourmaline as the main stone.

My budget is only `517`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `252`.
3. It provides a fixed discount of `123`.",3,Voucher:3
"Find a shop offering these items: First, a dark pink android phone with battery capacity below 1000 mAh and priced under 3893 PHP. Second, a black mobile phone priced above 2370 PHP. Third, a white (95% new) android smartphone with 3GB RAM, 32GB storage, single SIM, battery under 1000 mAh, display size between 5 and 5.4 inches, supports cash on delivery, and costs more than 691 PHP. All should be in the mobile phone category.",3,Shop:3
Looking for a toner from psph beauty that costs over 98 pesos.,2,Product:2
Looking for a plastic water bottle with a 64 oz capacity from oem brand,2,Product:2
Looking for a fuel injector that comes with complimentary shipping.,2,Product:2
"Show me cordless vacuum cleaners with 500w power, priced from 17 to 2448 PHP.",2,Product:2
Looking for a casual plush keychain in apricot color with LazFlash deals.,2,Product:2
"Find a shop selling both plastic shoe organizers (2pcs transparent, cash on delivery, price between 9 and 500 PHP) and laundry detergent sheets (hypoallergenic, fresh linen scent, box packaging, eco-friendly, LazFlash deal, price above 11 PHP).",2,Shop:2
"Find a shop offering these items: First, a car camera system under the 'car electronics' category, with 'products only' service and the brand 'oem'. Second, a motorcycle accessory in 'motorcycle parts', colored yellow, suitable for any motorcycle make, from the brand 'oem', and priced above 113 PHP. Third, a scratch repair kit in 'car care', with 'products only' service, brand 'oem', and a price ranging from 75 to 164 PHP.",2,Shop:2
"Find a shop offering both a black metal floor lamp with a swing arm, categorized under chandeliers and priced above 76 PHP, and a folding LED floor lamp for living rooms or bedrooms, featuring a tricolor bulb, made from aluminium, and showcasing vintage filament lighting effects.",2,Shop:2
"I'm looking for a stainless steel furniture bracket in the 10set color, a nitric oxide booster supplement with 120 capsules in capsule form from pslalae, a retro French style women's dress in size L, red color, color block pattern, made of 100% other materials, and a universal motorcycle electrical connector with 5 pin specification.

My budget is only `1079`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `565`.
3. It provides a fixed discount of `246`.",2,Voucher:2
"I'm looking for a 50 meter air column bubble wrap for packaging, a plus size floral midi a-line dress with short sleeves and a collar made from geena fabric, suitable for casual occasions and available with LazFlash deals, a European standard quick coupling for air hose fittings, and a blue canvas shoulder bag in Korean tribal style.

My budget is only `878`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `148`.
3. It provides a percentage discount of `21%` with a cap of `46`.",2,Voucher:2
"I'm looking for books like 'Ang Pinakamahabang Pasko', 'Ang Mahiwagang Bantay ng Bundok Arayat', and 'Vital Signs: Philippine Short Stories on Healing (Paper Back)'. Also, could you show me English-language folktale books from Asia?

My budget is only `1393`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `1889`.
3. It provides a percentage discount of `43%` with a cap of `1544`.",2,Voucher:2
"Find a remote control for Skyworth Android TV with LazFlash deal, a 4-ply 100g Indophil yarn, silver tassel drop earrings for women in color 03 with zircon stones, and a set of two white crystal hair clips with a simple pattern and trendy style.

My budget is only `368`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `276`.
3. It provides a percentage discount of `12%` with a cap of `55`.",2,Voucher:2
"Find products matching these filters: First, brand is smatrul, universal compatibility is required, and the item is available with LazMall services. Second, color is white and plug type is type c. Third, color is black, brand is smatrul, and cash on delivery is an option. Fourth, color is type c, model is wireless doorbell, and the product is offered with both LazMall and LazFlash deals. Focus on categories like remote control, thermometer, smart socket, and doorbell.

My budget is only `2254`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `440`.
3. It provides a percentage discount of `13%` with a cap of `101`.",2,Voucher:2
Looking for a valve core for vehicles priced from 23 to 29 pesos.,2,Product:2
"Show me Carbonara Cup deals with LazFlash promo, priced above 41 PHP.",2,Product:2
Show me neck cream for children that costs more than 2250 PHP.,2,Product:2
"Looking for a shop that offers these items: First, a Honda cylinder head cover gasket from Thailand, priced between 209 and 519 pesos. Second, a Yamaha flyball set for Mio i125, M3, NMAX, or Aerox, from the official LazMall store. Third, a Honda flyball set in black, with a price range of 3 to 457 pesos. Lastly, a genuine piston ring set for Honda TMX155, compatible with the motorcycle model, brand Honda, and priced above 667 pesos. Please show shops selling all these products.",2,Shop:2
"Find shops offering multiple items where: First, an electronics product with a 4m cord, US plug, model electronics, and price above 289 PHP. Second, a high-gain antenna with price ranging from 769 to 1815 PHP. Third, a laptop adapter in the US color family, compatible with Acer, US plug, includes free shipping and cash on delivery, and costs more than 375 PHP.",2,Shop:2
"Find homeappliancesolutions products. First, look for a solar car exhaust fan with power usage of at least 5000 and the same brand. Next, search for a fully automatic foldable washing machine that comes with a washer/dryer stand, supports LazMall services like authenticity guarantee, quick returns, fast shipping, and also allows cash on delivery. Then, look for a kids school bag made of canvas, suitable for both boys and girls, modelled as a kids school bag, and from homeappliancesolutions. Lastly, find a handheld electric cleaning brush from homeappliancesolutions.

My budget is only `4646`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `972`.
3. It provides a fixed discount of `419`.",2,Voucher:2
"I'm looking for a coloring book that comes with a ruler and has free delivery. Also, I need a rear lamp indicator for an ebike or e-trike that fits any model or make. Additionally, I'm searching for a webcam from Logitech that's compatible with Acer devices. Lastly, I want a bag of green potato chips that are available with a special LazFlash deal.

My budget is only `1822`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `609`.
3. It provides a fixed discount of `111`.",2,Voucher:2
"Show me a yamaha motorcycle part from lucali, a basic calculator powered by battery with free shipping, a porcelain soap dish available for cash on delivery, and a premium frezyderm cream sunscreen that's waterproof and regular size.

My budget is only `1662`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `1460`.
3. It provides a percentage discount of `32%` with a cap of `1391`.",2,Voucher:2
"Show me fruity fragrance mists from bath and body works in regular size, and also pink sand playsets that are available with LazMall authenticity and LazFlash deals.

My budget is only `319`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `353`.
3. It provides a percentage discount of `31%` with a cap of `344`.",2,Voucher:2
"I'm looking for three items. First, a battery from solar power products that comes with LazMall's authenticity guarantee and supports cash on delivery. Second, a hair accessory—specifically a metal hair clip or pin in a crown color, with a floral design and no stones, also from LazMall. Third, a pair of women's shoes in beige, size EU 38, suitable for autumn, with a round toe, and available with LazMall, free shipping, and LazFlash deals.

My budget is only `1368`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `722`.
3. It provides a fixed discount of `245`.",2,Voucher:2
"Show me clamps for woodworking that come with free delivery, support cash on delivery, and cost more than 150 PHP.",2,Product:2
"Looking for gate handles made of rubber from Altech, priced above 642 PHP.",2,Product:2
"Looking for a shop offering a pink haakaa brand baby nail trimmer, a nail trimmer replacement pad suitable for 3-6 months old and for hand use with a price above 174 PHP, and a silicone baby teether for ages 3 months and up priced between 1013 and 1468 PHP.",2,Shop:2
"Find shops offering books where one is in English, comes with LazFlash for a price above 317 PHP; another has LazFlash and costs between 168 and 304 PHP; and a third includes free shipping.",2,Shop:2
